Command line args:
	report.txt	rbhtest.txt	10	5	5	15	

  TIME   PERC1   PERC2    N1  THR1    N2  THR2
 0.000, 100.000, 100.000,    5,   10,   15,    5
 0.000, 100.000, 100.000,    5,   10,   15,    4
 0.000, 100.000, 100.000,    5,   10,   15,    3
 0.000, 100.000, 100.000,    5,    9,   15,    4
 0.000, 100.000, 100.000,    5,    9,   15,    3
 0.000, 100.000, 100.000,    5,    9,   15,    2
 0.000, 100.000, 100.000,    5,    8,   15,    3
 0.000, 100.000, 100.000,    5,    8,   15,    2
 0.000, 100.000, 100.000,    5,    8,   15,    1
 0.000, 100.000, 100.000,    5,    7,   15,    2
 0.000, 100.000, 100.000,    5,    7,   15,    1
 0.000, 100.000, 100.000,    5,    7,   15,    0
 0.000, 100.000, 100.000,    5,    6,   15,    1
 0.000, 100.000, 100.000,    5,    6,   15,    0
 0.000, 100.000, 100.000,    5,    6,   15,   -1
 0.000, 100.000, 100.000,    5,    5,   15,    0
 0.000, 100.000, 100.000,    5,    5,   15,   -1
 0.000, 100.000, 100.000,    5,    5,   15,   -2
